epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.783,0.98855,2.34071,1.37249,0.61991,0.33496,0.39805,0.26044,1.25645,2.60633,1.58636,0.000467173,0.000467173,0.000467173
2,356.309,1.0735,1.84331,1.43138,0.53,0.44547,0.47202,0.30948,1.16809,2.29977,1.55645,0.000934166,0.000934166,0.000934166
3,534.727,1.16411,1.7899,1.45252,0.43479,0.36933,0.37497,0.21647,1.60506,2.45388,2.07478,0.00139173,0.00139173,0.00139173
4,714.288,1.16943,1.79186,1.46631,0.42156,0.36206,0.31578,0.18017,1.60889,2.8224,1.90953,0.00138656,0.00138656,0.00138656
5,889.928,1.17977,1.77846,1.5064,0.36524,0.35842,0.33125,0.18715,1.52579,2.43897,1.85427,0.00137241,0.00137241,0.00137241
6,1065.55,1.15991,1.71083,1.48429,0.45112,0.42065,0.3907,0.23797,1.48815,2.40294,1.75815,0.00135826,0.00135826,0.00135826
7,1243.63,1.14212,1.62166,1.4695,0.71663,0.44617,0.5347,0.34034,1.23663,1.91378,1.58885,0.00134412,0.00134412,0.00134412
8,1421.25,1.12361,1.6254,1.44583,0.66993,0.5205,0.59118,0.38344,1.26362,1.68176,1.59777,0.00132997,0.00132997,0.00132997
9,1595.01,1.08664,1.53618,1.4369,0.51452,0.5482,0.5128,0.34251,1.2439,1.87363,1.59643,0.00131582,0.00131582,0.00131582
10,1769,1.04392,1.4502,1.39739,0.57542,0.54582,0.56278,0.36397,1.26475,1.66301,1.56292,0.00130168,0.00130168,0.00130168
11,1941.43,1.01782,1.44371,1.37256,0.62196,0.53322,0.57264,0.40202,1.16895,1.83469,1.48558,0.00128753,0.00128753,0.00128753
12,2113.46,1.02423,1.41158,1.38537,0.6395,0.59846,0.61753,0.42723,1.11746,1.63261,1.47706,0.00127338,0.00127338,0.00127338
13,2286.57,1.03318,1.40616,1.38476,0.62355,0.56315,0.60579,0.42753,1.13824,1.49504,1.47263,0.00125923,0.00125923,0.00125923
14,2459.43,0.98874,1.35047,1.36143,0.63296,0.57266,0.61466,0.4311,1.13073,1.50502,1.46158,0.00124509,0.00124509,0.00124509
15,2629.54,0.96944,1.32996,1.33917,0.65649,0.56976,0.61995,0.43966,1.10716,1.4492,1.47989,0.00123094,0.00123094,0.00123094
16,2799.93,0.98045,1.33642,1.3522,0.63838,0.59132,0.63143,0.45176,1.05617,1.38576,1.40604,0.00121679,0.00121679,0.00121679
17,2971.56,0.941,1.29838,1.32776,0.68667,0.60179,0.66234,0.47476,1.0719,1.33964,1.41246,0.00120265,0.00120265,0.00120265
18,3142.21,0.94802,1.27756,1.33916,0.68204,0.52019,0.57162,0.42385,1.02856,1.49433,1.3707,0.0011885,0.0011885,0.0011885
19,3313.96,0.92652,1.27132,1.31887,0.66445,0.61106,0.639,0.47373,1.05067,1.40806,1.40053,0.00117435,0.00117435,0.00117435
20,3485.53,0.91598,1.25126,1.3094,0.66143,0.6505,0.66457,0.483,1.02313,1.28263,1.38091,0.00116021,0.00116021,0.00116021
21,3657.21,0.89659,1.21421,1.30083,0.66149,0.64801,0.65418,0.47532,1.04692,1.32499,1.38946,0.00114606,0.00114606,0.00114606
22,3826.98,0.89989,1.22095,1.29953,0.74816,0.57599,0.65877,0.48203,1.04338,1.33701,1.37654,0.00113191,0.00113191,0.00113191
23,4002.02,0.87465,1.16773,1.27209,0.68275,0.61221,0.66204,0.47869,1.02778,1.30328,1.36553,0.00111776,0.00111776,0.00111776
24,4173.35,0.87326,1.14279,1.28547,0.7019,0.61953,0.67091,0.49752,0.97977,1.26662,1.33235,0.00110362,0.00110362,0.00110362
25,4350.86,0.87522,1.14348,1.27858,0.64444,0.5946,0.62595,0.47868,0.9556,1.39809,1.3239,0.00108947,0.00108947,0.00108947
26,4522.59,0.88244,1.14561,1.28822,0.70426,0.62622,0.68099,0.49215,1.00851,1.2837,1.38758,0.00107532,0.00107532,0.00107532
27,4694.82,0.86404,1.11735,1.26375,0.77074,0.60616,0.6813,0.51167,0.96991,1.22229,1.32502,0.00106118,0.00106118,0.00106118
28,4868.95,0.81474,1.07238,1.24034,0.74447,0.62937,0.69404,0.52456,0.97505,1.18337,1.33559,0.00104703,0.00104703,0.00104703
29,5041.34,0.81936,1.09905,1.25149,0.75032,0.6431,0.69485,0.53598,0.91809,1.12457,1.26916,0.00103288,0.00103288,0.00103288
30,5212.76,0.81638,1.06463,1.23626,0.69847,0.66222,0.68721,0.51943,0.93695,1.18715,1.30953,0.00101873,0.00101873,0.00101873
31,5384.45,0.80882,1.0475,1.24565,0.64566,0.67054,0.67768,0.51212,0.93383,1.18265,1.28887,0.00100459,0.00100459,0.00100459
32,5556.15,0.80714,1.05638,1.23917,0.6653,0.64095,0.68464,0.49968,0.9747,1.2505,1.326,0.00099044,0.00099044,0.00099044
33,5728.45,0.78813,1.0332,1.22144,0.67154,0.66023,0.70618,0.53472,0.92496,1.15307,1.29175,0.000976293,0.000976293,0.000976293
34,5900.11,0.79178,1.02413,1.21854,0.74045,0.65418,0.72045,0.5421,0.9327,1.14053,1.29853,0.000962146,0.000962146,0.000962146
35,6073.14,0.78021,1.01375,1.20223,0.70788,0.66612,0.71015,0.53814,0.94279,1.1244,1.32284,0.000947999,0.000947999,0.000947999
36,6245.07,0.77489,0.98405,1.21351,0.67348,0.6382,0.66708,0.49916,0.99915,1.25491,1.3732,0.000933851,0.000933851,0.000933851
37,6416.93,0.75423,0.95002,1.20862,0.70528,0.65565,0.70181,0.53844,0.9008,1.12557,1.27975,0.000919704,0.000919704,0.000919704
38,6589.71,0.75067,0.94961,1.19697,0.75965,0.667,0.71533,0.55344,0.91081,1.08016,1.28514,0.000905557,0.000905557,0.000905557
39,6762.12,0.77464,0.96723,1.21578,0.77532,0.62095,0.69203,0.53945,0.94497,1.13475,1.30714,0.00089141,0.00089141,0.00089141
40,6933.28,0.77346,0.97873,1.20193,0.73741,0.61567,0.68144,0.51694,0.93832,1.11637,1.3044,0.000877263,0.000877263,0.000877263
41,7103.74,0.75004,0.93534,1.19106,0.74749,0.64779,0.7073,0.54204,0.9095,1.08402,1.27234,0.000863116,0.000863116,0.000863116
42,7274.5,0.739,0.91767,1.18711,0.69013,0.67143,0.7011,0.54834,0.86802,1.11882,1.24146,0.000848969,0.000848969,0.000848969
43,7442.98,0.70884,0.89342,1.15984,0.7184,0.67188,0.70121,0.53199,0.88781,1.07264,1.26016,0.000834822,0.000834822,0.000834822
44,7610.76,0.71291,0.89367,1.17337,0.69337,0.68725,0.69772,0.54822,0.86114,1.10052,1.24745,0.000820675,0.000820675,0.000820675
45,7779.56,0.75655,0.95164,1.20012,0.72921,0.66711,0.69045,0.54653,0.84951,1.09079,1.2286,0.000806528,0.000806528,0.000806528
46,7952.65,0.70758,0.87967,1.16668,0.68729,0.66738,0.6834,0.54104,0.87271,1.11607,1.24783,0.00079238,0.00079238,0.00079238
47,8125.63,0.70962,0.87173,1.17123,0.81723,0.59845,0.70807,0.54918,0.88414,1.07327,1.26476,0.000778233,0.000778233,0.000778233
48,8302.03,0.70692,0.89121,1.151,0.74481,0.66427,0.68702,0.53413,0.86021,1.11433,1.25443,0.000764086,0.000764086,0.000764086
49,8491.09,0.71162,0.87051,1.16784,0.73949,0.6251,0.69133,0.54527,0.85826,1.11446,1.23317,0.000749939,0.000749939,0.000749939
50,8677.9,0.71034,0.87644,1.15813,0.69052,0.69896,0.70112,0.551,0.87365,1.05624,1.26106,0.000735792,0.000735792,0.000735792
51,8864.87,0.69491,0.86247,1.16156,0.70067,0.66418,0.69356,0.54429,0.8492,1.06302,1.24751,0.000721645,0.000721645,0.000721645
52,9052.39,0.6688,0.83162,1.14223,0.73537,0.6857,0.71631,0.57106,0.83473,1.02745,1.22423,0.000707498,0.000707498,0.000707498
53,9241.32,0.68083,0.82889,1.1368,0.73716,0.65408,0.70255,0.55671,0.81824,1.06019,1.19938,0.000693351,0.000693351,0.000693351
54,9415.77,0.68315,0.84054,1.1451,0.70071,0.68844,0.68865,0.54772,0.83342,1.08073,1.21634,0.000679204,0.000679204,0.000679204
55,9602.67,0.65364,0.79921,1.12535,0.67291,0.68918,0.68947,0.54548,0.84856,1.05524,1.23479,0.000665057,0.000665057,0.000665057
56,9791.71,0.65523,0.80096,1.1291,0.69199,0.74307,0.71414,0.55572,0.84627,1.01348,1.23265,0.000650909,0.000650909,0.000650909
57,9984.44,0.65823,0.78804,1.13052,0.76049,0.66031,0.69954,0.54945,0.832,1.0495,1.22677,0.000636762,0.000636762,0.000636762
58,10179.6,0.67075,0.81601,1.14379,0.70267,0.70783,0.7087,0.558,0.84347,1.03948,1.25407,0.000622615,0.000622615,0.000622615
59,10371.2,0.65722,0.78623,1.12713,0.74449,0.65833,0.70151,0.56005,0.82149,1.03302,1.23361,0.000608468,0.000608468,0.000608468
60,10563.5,0.66295,0.78768,1.12919,0.77464,0.6468,0.71262,0.55903,0.83516,1.05346,1.2335,0.000594321,0.000594321,0.000594321
61,10755,0.6463,0.78214,1.12467,0.818,0.59903,0.6995,0.54897,0.81468,1.03906,1.22292,0.000580174,0.000580174,0.000580174
62,10950.8,0.62799,0.75058,1.10619,0.79404,0.63946,0.71787,0.56131,0.82671,1.00853,1.23946,0.000566027,0.000566027,0.000566027
63,11145.8,0.61208,0.73434,1.10827,0.71548,0.67347,0.70327,0.55952,0.83262,1.02581,1.24272,0.00055188,0.00055188,0.00055188
64,11337,0.65146,0.77446,1.12894,0.78059,0.62413,0.70125,0.55962,0.8091,0.99093,1.20029,0.000537733,0.000537733,0.000537733
65,11532.9,0.62688,0.74414,1.11453,0.75684,0.66899,0.72359,0.57907,0.79006,1.00918,1.19268,0.000523586,0.000523586,0.000523586
66,11729.1,0.61969,0.72843,1.10703,0.70805,0.66584,0.69321,0.5583,0.79193,1.05136,1.19504,0.000509438,0.000509438,0.000509438
67,11923.9,0.61593,0.72229,1.10103,0.76409,0.64221,0.70832,0.57119,0.78973,1.0203,1.17655,0.000495291,0.000495291,0.000495291
68,12120,0.61887,0.7307,1.09743,0.7171,0.6769,0.71163,0.57554,0.77514,1.01644,1.17511,0.000481144,0.000481144,0.000481144
69,12315.2,0.60156,0.70873,1.09555,0.77303,0.67728,0.71392,0.58247,0.7718,1.02019,1.17314,0.000466997,0.000466997,0.000466997
70,12508.5,0.61339,0.70712,1.08983,0.77152,0.69075,0.73633,0.59231,0.76991,0.94373,1.18213,0.00045285,0.00045285,0.00045285
71,12701.4,0.60899,0.69876,1.0957,0.77609,0.64474,0.71123,0.57574,0.79226,1.0041,1.2052,0.000438703,0.000438703,0.000438703
72,12901.3,0.58494,0.70206,1.08737,0.75803,0.6684,0.70174,0.57205,0.78552,1.01516,1.19367,0.000424556,0.000424556,0.000424556
73,13094,0.5922,0.69822,1.09038,0.73596,0.70706,0.72556,0.58903,0.77079,0.94682,1.18952,0.000410409,0.000410409,0.000410409
74,13286.1,0.58786,0.68963,1.0873,0.73582,0.69786,0.71215,0.57585,0.7654,0.98547,1.19133,0.000396262,0.000396262,0.000396262
75,13478.1,0.58387,0.66067,1.08027,0.778,0.67294,0.72031,0.58969,0.75579,0.99323,1.17918,0.000382115,0.000382115,0.000382115
76,13666.6,0.57394,0.66133,1.0761,0.79234,0.65731,0.70556,0.57248,0.77434,1.01203,1.19961,0.000367967,0.000367967,0.000367967
77,13854.2,0.58312,0.6654,1.07051,0.7782,0.65742,0.70692,0.57682,0.78632,0.96643,1.20642,0.00035382,0.00035382,0.00035382
78,14030.4,0.57644,0.65544,1.07874,0.78914,0.65443,0.70832,0.57919,0.76371,0.98719,1.17267,0.000339673,0.000339673,0.000339673
79,14205.9,0.56936,0.64463,1.07784,0.81687,0.65327,0.72156,0.58519,0.78606,0.96216,1.1939,0.000325526,0.000325526,0.000325526
80,14393.3,0.56206,0.64264,1.06223,0.73541,0.69148,0.71759,0.58485,0.77911,0.97919,1.20103,0.000311379,0.000311379,0.000311379
81,14575.7,0.56264,0.64976,1.0715,0.79903,0.64759,0.71498,0.57493,0.77782,0.99437,1.19701,0.000297232,0.000297232,0.000297232
82,14761.5,0.55509,0.64074,1.06636,0.74269,0.6879,0.71488,0.58391,0.78264,1.00148,1.1981,0.000283085,0.000283085,0.000283085
83,14951,0.5552,0.6229,1.06787,0.76348,0.69165,0.71357,0.58362,0.76892,0.99473,1.19586,0.000268938,0.000268938,0.000268938
84,15141,0.57204,0.64764,1.07826,0.78507,0.6634,0.71455,0.58526,0.78528,0.97824,1.20472,0.000254791,0.000254791,0.000254791
85,15328.8,0.56764,0.64503,1.06719,0.74456,0.71533,0.70924,0.57618,0.79276,0.96777,1.21688,0.000240644,0.000240644,0.000240644
86,15517,0.55034,0.60965,1.06348,0.78696,0.68368,0.72036,0.58787,0.7676,0.94992,1.18293,0.000226497,0.000226497,0.000226497
87,15701.7,0.55095,0.6279,1.05702,0.78592,0.65249,0.70716,0.58071,0.75982,0.9698,1.17749,0.000212349,0.000212349,0.000212349
