epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.708,0.92159,2.17865,1.41924,0.54198,0.44889,0.47026,0.26228,1.36007,2.81492,1.87338,0.000544981,0.000544981,0.000544981
2,350.871,1.02594,1.74555,1.47072,0.38664,0.50484,0.41428,0.21892,1.5896,2.73503,2.27897,0.00108975,0.00108975,0.00108975
3,520.05,1.11454,1.71828,1.53831,0.3106,0.5743,0.36503,0.13973,1.89703,3.08994,2.56733,0.00162352,0.00162352,0.00162352
4,688.571,1.16985,1.74732,1.57384,0.40893,0.4103,0.32039,0.1368,1.93638,3.63589,2.48666,0.00161749,0.00161749,0.00161749
5,857.326,1.16421,1.65168,1.58761,0.41312,0.40484,0.40565,0.17045,1.81541,2.81802,2.49935,0.00160099,0.00160099,0.00160099
6,1036.58,1.10741,1.54312,1.54639,0.39297,0.41698,0.25969,0.09515,1.88245,3.5459,2.62981,0.00158448,0.00158448,0.00158448
7,1218.73,1.10241,1.49806,1.52612,0.4943,0.60298,0.56738,0.29963,1.4749,1.8952,2.06661,0.00156798,0.00156798,0.00156798
8,1394.19,1.06342,1.49003,1.49878,0.50492,0.56998,0.50632,0.26571,1.49647,2.09952,2.08864,0.00155148,0.00155148,0.00155148
9,1568.5,1.06198,1.46253,1.50017,0.67776,0.53759,0.60975,0.34914,1.36866,1.81851,1.90946,0.00153497,0.00153497,0.00153497
10,1746,1.02604,1.38469,1.46641,0.57215,0.60711,0.59686,0.30627,1.54144,1.79078,2.09583,0.00151847,0.00151847,0.00151847
11,1922.48,1.02909,1.41838,1.4765,0.61086,0.67545,0.69462,0.3515,1.57089,1.685,2.05963,0.00150197,0.00150197,0.00150197
12,2097.36,0.99428,1.30638,1.45005,0.69048,0.61927,0.66626,0.40948,1.32614,1.58458,1.8829,0.00148546,0.00148546,0.00148546
13,2273.92,0.96253,1.25254,1.43424,0.61548,0.69529,0.70683,0.43304,1.34064,1.50338,1.85403,0.00146896,0.00146896,0.00146896
14,2452.41,0.96858,1.25513,1.42628,0.56031,0.6562,0.67534,0.43681,1.2019,1.56686,1.69764,0.00145246,0.00145246,0.00145246
15,2630.04,0.92978,1.22853,1.40327,0.6971,0.61889,0.65287,0.39198,1.32201,1.51402,1.83425,0.00143595,0.00143595,0.00143595
16,2807.02,0.94797,1.22742,1.41784,0.72589,0.75044,0.76547,0.44911,1.35582,1.42311,1.94243,0.00141945,0.00141945,0.00141945
17,2984.16,0.91979,1.17617,1.39334,0.71907,0.62425,0.71306,0.46619,1.18028,1.47279,1.71348,0.00140295,0.00140295,0.00140295
18,3158.44,0.89014,1.15445,1.37743,0.80077,0.71011,0.80102,0.53605,1.14257,1.33025,1.67238,0.00138644,0.00138644,0.00138644
19,3328.18,0.88748,1.13983,1.37615,0.77341,0.71985,0.74738,0.48272,1.20818,1.3275,1.75953,0.00136994,0.00136994,0.00136994
20,3498.57,0.85825,1.10941,1.34305,0.76098,0.7624,0.78046,0.53644,1.12296,1.23874,1.62874,0.00135344,0.00135344,0.00135344
21,3673.26,0.8645,1.10355,1.36272,0.74094,0.70496,0.72926,0.48827,1.06547,1.29057,1.5708,0.00133693,0.00133693,0.00133693
22,3852.02,0.84487,1.06648,1.34155,0.74495,0.65319,0.70888,0.45099,1.25358,1.34139,1.7743,0.00132043,0.00132043,0.00132043
23,4026.51,0.84962,1.06105,1.33601,0.7581,0.64327,0.70073,0.44552,1.20479,1.45922,1.72563,0.00130393,0.00130393,0.00130393
24,4197.13,0.81861,1.0453,1.33137,0.7598,0.72428,0.78663,0.51684,1.16087,1.26999,1.65291,0.00128742,0.00128742,0.00128742
25,4367.2,0.83695,1.07921,1.34508,0.78053,0.74731,0.78593,0.54365,1.07549,1.21915,1.64346,0.00127092,0.00127092,0.00127092
26,4537.28,0.81842,1.05458,1.33364,0.80195,0.78839,0.84034,0.58093,1.12238,1.17958,1.62127,0.00125442,0.00125442,0.00125442
27,4707.53,0.80342,1.03468,1.31869,0.7391,0.69801,0.77398,0.54978,1.04985,1.27096,1.58513,0.00123791,0.00123791,0.00123791
28,4877.63,0.77182,0.98867,1.28018,0.83683,0.77434,0.83583,0.58658,0.99744,1.0974,1.5267,0.00122141,0.00122141,0.00122141
29,5047.92,0.77944,0.99448,1.29089,0.79973,0.80039,0.84385,0.60643,0.94966,1.05277,1.47718,0.00120491,0.00120491,0.00120491
30,5218.36,0.7902,0.98909,1.30367,0.87694,0.776,0.86707,0.64475,0.9257,0.98138,1.45488,0.0011884,0.0011884,0.0011884
31,5395.42,0.78659,0.96877,1.3004,0.76326,0.8082,0.84009,0.58221,1.03944,1.03865,1.55819,0.0011719,0.0011719,0.0011719
32,5568.18,0.80524,0.99565,1.32509,0.82303,0.73062,0.83129,0.56456,1.03709,1.1125,1.56242,0.0011554,0.0011554,0.0011554
33,5747.01,0.75441,0.93226,1.28164,0.82844,0.77805,0.81838,0.58413,1.02519,1.07259,1.554,0.00113889,0.00113889,0.00113889
34,5928.1,0.77671,0.95745,1.29456,0.88003,0.77047,0.84979,0.6126,0.95828,0.96904,1.49432,0.00112239,0.00112239,0.00112239
35,6107.58,0.76287,0.94079,1.29003,0.78417,0.76277,0.82776,0.57137,1.0444,1.02608,1.56663,0.00110589,0.00110589,0.00110589
36,6280.27,0.79504,0.96122,1.30661,0.87641,0.70398,0.82777,0.57983,1.03361,1.05115,1.54793,0.00108938,0.00108938,0.00108938
37,6452.76,0.76564,0.93876,1.28918,0.85547,0.78598,0.87449,0.64896,0.96318,0.91798,1.49467,0.00107288,0.00107288,0.00107288
38,6624.9,0.72959,0.90273,1.2647,0.81594,0.8,0.84229,0.61322,0.97236,1.03341,1.51573,0.00105638,0.00105638,0.00105638
39,6798.53,0.70622,0.88229,1.24059,0.84354,0.80654,0.87397,0.65471,0.92808,0.93075,1.4649,0.00103987,0.00103987,0.00103987
40,6977.66,0.71012,0.88346,1.23827,0.79761,0.78837,0.83695,0.5996,0.98684,1.04233,1.52877,0.00102337,0.00102337,0.00102337
41,7154.29,0.72234,0.8719,1.25666,0.75883,0.84318,0.84242,0.58324,1.02765,1.07225,1.56018,0.00100687,0.00100687,0.00100687
42,7329.34,0.71624,0.87532,1.25672,0.84745,0.81821,0.8786,0.64722,0.94735,0.90575,1.47204,0.000990365,0.000990365,0.000990365
43,7507.08,0.68963,0.84381,1.22926,0.77817,0.78213,0.8279,0.59891,0.95937,1.06436,1.48674,0.000973861,0.000973861,0.000973861
44,7695.01,0.68663,0.82988,1.23123,0.86787,0.76148,0.86163,0.65553,0.89174,0.90341,1.40487,0.000957358,0.000957358,0.000957358
45,7877.05,0.65698,0.82529,1.207,0.8465,0.73958,0.85326,0.64276,0.88465,0.98464,1.42232,0.000940855,0.000940855,0.000940855
46,8056.91,0.66738,0.83193,1.21146,0.79029,0.78139,0.83441,0.60501,0.93809,1.01993,1.45996,0.000924352,0.000924352,0.000924352
47,8230.53,0.64935,0.82346,1.20356,0.8279,0.77787,0.84531,0.598,0.99485,1.03729,1.51772,0.000907848,0.000907848,0.000907848
48,8406.45,0.65574,0.80603,1.20751,0.87024,0.78722,0.87179,0.6714,0.86684,0.88827,1.39649,0.000891345,0.000891345,0.000891345
49,8581.81,0.66507,0.81687,1.21228,0.83041,0.82834,0.86041,0.6597,0.85358,0.89082,1.36449,0.000874842,0.000874842,0.000874842
50,8756.58,0.66318,0.80856,1.21345,0.86006,0.80816,0.87192,0.66129,0.89097,0.9143,1.41568,0.000858338,0.000858338,0.000858338
51,8944.32,0.66567,0.80224,1.21278,0.84324,0.81616,0.86219,0.66575,0.90869,0.89588,1.44257,0.000841835,0.000841835,0.000841835
52,9121.57,0.68598,0.81745,1.21491,0.86126,0.83791,0.87131,0.64603,0.96784,0.84919,1.46214,0.000825332,0.000825332,0.000825332
53,9299.07,0.65162,0.74103,1.19477,0.89279,0.80627,0.88725,0.67646,0.8693,0.92273,1.39425,0.000808828,0.000808828,0.000808828
54,9478.15,0.63912,0.76974,1.20155,0.87298,0.82899,0.89722,0.6748,0.84817,0.85384,1.36718,0.000792325,0.000792325,0.000792325
55,9655.92,0.66921,0.76027,1.20666,0.87208,0.7769,0.88302,0.65887,0.91268,0.88605,1.41675,0.000775822,0.000775822,0.000775822
56,9831.39,0.63069,0.771,1.18335,0.84275,0.82767,0.88576,0.68925,0.8432,0.8465,1.38052,0.000759318,0.000759318,0.000759318
57,10005.2,0.61711,0.74098,1.17345,0.81066,0.84442,0.87271,0.66897,0.85387,0.85974,1.38879,0.000742815,0.000742815,0.000742815
58,10180.3,0.61997,0.74338,1.18592,0.86626,0.81367,0.88138,0.68086,0.86381,0.86842,1.41126,0.000726312,0.000726312,0.000726312
59,10354.1,0.62,0.73249,1.17462,0.84355,0.81092,0.87399,0.65702,0.91574,0.84567,1.4786,0.000709809,0.000709809,0.000709809
60,10528.5,0.61805,0.74223,1.18355,0.8778,0.83548,0.89003,0.66306,0.86437,0.82957,1.41069,0.000693305,0.000693305,0.000693305
61,10702.5,0.60018,0.72664,1.16729,0.86546,0.82037,0.87442,0.69127,0.84767,0.83301,1.39302,0.000676802,0.000676802,0.000676802
62,10876.1,0.59462,0.71044,1.16406,0.86435,0.83473,0.88527,0.68286,0.84489,0.84659,1.37263,0.000660299,0.000660299,0.000660299
63,11050.3,0.59125,0.70467,1.16405,0.88935,0.78307,0.87061,0.66924,0.84292,0.8805,1.39727,0.000643795,0.000643795,0.000643795
64,11224.6,0.5915,0.70873,1.15227,0.81434,0.78974,0.84971,0.64729,0.90147,0.93455,1.4372,0.000627292,0.000627292,0.000627292
65,11398.6,0.59405,0.70434,1.16351,0.86513,0.84693,0.90964,0.69428,0.84924,0.80377,1.36783,0.000610789,0.000610789,0.000610789
66,11572.7,0.5798,0.69787,1.14131,0.88604,0.81523,0.89585,0.68671,0.85763,0.81727,1.364,0.000594286,0.000594286,0.000594286
67,11746.6,0.57607,0.68427,1.14733,0.89617,0.81799,0.91123,0.71998,0.78135,0.77944,1.30821,0.000577782,0.000577782,0.000577782
68,11920.8,0.57023,0.69133,1.14117,0.88311,0.83027,0.88986,0.7033,0.80406,0.79454,1.34105,0.000561279,0.000561279,0.000561279
69,12095.3,0.563,0.66182,1.15357,0.86435,0.8335,0.90161,0.70815,0.83183,0.81946,1.37332,0.000544776,0.000544776,0.000544776
70,12269.3,0.54389,0.65245,1.13932,0.89477,0.81419,0.90224,0.72075,0.77048,0.75538,1.32479,0.000528272,0.000528272,0.000528272
71,12443.5,0.56957,0.66913,1.13518,0.87987,0.80012,0.8804,0.6956,0.85414,0.85469,1.37791,0.000511769,0.000511769,0.000511769
72,12618,0.56809,0.68164,1.156,0.93282,0.78722,0.90961,0.71924,0.83267,0.75352,1.35677,0.000495266,0.000495266,0.000495266
73,12793.8,0.55539,0.68009,1.13911,0.87932,0.83288,0.90107,0.7223,0.78882,0.74991,1.33355,0.000478762,0.000478762,0.000478762
74,12968.8,0.55809,0.65079,1.13903,0.9066,0.80968,0.90563,0.72622,0.79016,0.74773,1.32572,0.000462259,0.000462259,0.000462259
75,13143,0.54562,0.65708,1.13151,0.84973,0.85341,0.90982,0.7271,0.73978,0.74835,1.2824,0.000445756,0.000445756,0.000445756
76,13316.5,0.54108,0.62259,1.13026,0.90239,0.85471,0.9169,0.73326,0.76119,0.72489,1.29716,0.000429253,0.000429253,0.000429253
77,13490,0.5422,0.63616,1.11906,0.89172,0.84523,0.91157,0.73309,0.76445,0.71826,1.3193,0.000412749,0.000412749,0.000412749
