epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.76,0.8052,2.2977,1.16851,0.41876,0.3532,0.36256,0.22189,0.95798,2.37404,1.42341,0.000546086,0.000546086,0.000546086
2,37.3153,0.89715,1.87373,1.22634,0.36129,0.08841,0.1325,0.06009,1.61086,2.89834,2.26021,0.00109085,0.00109085,0.00109085
3,48.5407,0.94701,1.7777,1.26221,0.28978,0.32352,0.26108,0.15513,1.32034,2.32028,1.81999,0.0016246,0.0016246,0.0016246
4,57.9512,0.98744,1.81837,1.29587,0.29593,0.47578,0.2697,0.15419,1.55669,3.60716,1.98612,0.00161749,0.00161749,0.00161749
5,67.9592,0.95186,1.71271,1.27031,0.63376,0.42715,0.47467,0.24656,1.35345,2.24263,1.88644,0.00160099,0.00160099,0.00160099
6,76.8783,0.9203,1.60929,1.24867,0.40526,0.41393,0.36122,0.19201,1.32363,2.04381,1.82265,0.00158448,0.00158448,0.00158448
7,86.2139,0.92508,1.57207,1.23533,0.48485,0.45995,0.44777,0.27831,1.2117,2.19466,1.59673,0.00156798,0.00156798,0.00156798
8,97.501,0.89529,1.47469,1.22751,0.51563,0.42716,0.44101,0.27966,1.12888,1.86211,1.66811,0.00155148,0.00155148,0.00155148
9,106.159,0.85875,1.447,1.21518,0.61997,0.52288,0.52295,0.36078,1.06441,1.59305,1.56383,0.00153497,0.00153497,0.00153497
10,116.114,0.83635,1.40834,1.18419,0.58162,0.48212,0.51145,0.35644,1.10648,1.63689,1.59872,0.00151847,0.00151847,0.00151847
11,125.726,0.82278,1.32818,1.18412,0.51235,0.5829,0.56031,0.37886,1.05507,1.53578,1.53428,0.00150197,0.00150197,0.00150197
12,134.812,0.80233,1.27744,1.16239,0.60654,0.62276,0.62755,0.43046,1.04579,1.42708,1.51028,0.00148546,0.00148546,0.00148546
13,144.058,0.79643,1.33657,1.16717,0.57446,0.5632,0.58458,0.40561,1.05625,1.49334,1.55103,0.00146896,0.00146896,0.00146896
14,154.648,0.7868,1.25841,1.15997,0.57075,0.54266,0.58289,0.41542,0.99193,1.55944,1.47805,0.00145246,0.00145246,0.00145246
15,164.08,0.76868,1.23063,1.13867,0.71896,0.5842,0.63772,0.43449,0.97302,1.28413,1.42122,0.00143595,0.00143595,0.00143595
16,173.871,0.77284,1.22395,1.1551,0.69838,0.55029,0.61495,0.44418,0.98093,1.35654,1.47208,0.00141945,0.00141945,0.00141945
17,184.098,0.7422,1.16428,1.13106,0.62513,0.59426,0.59158,0.4036,1.01213,1.49272,1.45305,0.00140295,0.00140295,0.00140295
18,194.079,0.74628,1.20745,1.15682,0.68513,0.64097,0.70398,0.50963,0.92508,1.18193,1.39742,0.00138644,0.00138644,0.00138644
19,203.564,0.73982,1.13358,1.1313,0.61568,0.57787,0.61808,0.43302,1.0079,1.27347,1.4187,0.00136994,0.00136994,0.00136994
20,212.811,0.731,1.13144,1.12695,0.74486,0.5732,0.66584,0.47813,0.94743,1.29101,1.46158,0.00135344,0.00135344,0.00135344
21,222.523,0.73751,1.14295,1.13796,0.52285,0.6291,0.60804,0.47424,0.92683,1.52109,1.4299,0.00133693,0.00133693,0.00133693
22,232.104,0.72698,1.11441,1.12204,0.59216,0.56854,0.58814,0.41972,0.96567,1.48241,1.45411,0.00132043,0.00132043,0.00132043
23,244.463,0.71615,1.10479,1.11479,0.68367,0.59873,0.6415,0.4494,1.0096,1.21218,1.44765,0.00130393,0.00130393,0.00130393
24,263.095,0.70022,1.05347,1.10378,0.67668,0.58104,0.65523,0.49004,0.89223,1.2145,1.37509,0.00128742,0.00128742,0.00128742
25,274.225,0.68003,1.04679,1.09458,0.71439,0.70977,0.73264,0.54728,0.92011,1.10607,1.38189,0.00127092,0.00127092,0.00127092
26,284.082,0.68122,1.00843,1.0927,0.62019,0.70067,0.67864,0.51758,0.86782,1.20916,1.33966,0.00125442,0.00125442,0.00125442
27,293.547,0.65598,1.02216,1.08061,0.60245,0.66058,0.66498,0.49428,0.84118,1.18006,1.3541,0.00123791,0.00123791,0.00123791
28,305.414,0.67322,1.00528,1.09835,0.65047,0.52071,0.58561,0.42758,0.96171,1.28891,1.4371,0.00122141,0.00122141,0.00122141
29,318.28,0.65967,0.9529,1.07405,0.77721,0.65425,0.72125,0.534,0.86154,1.10827,1.31436,0.00120491,0.00120491,0.00120491
30,328.362,0.6525,0.95423,1.07059,0.65968,0.73355,0.69646,0.53133,0.84867,1.10848,1.30414,0.0011884,0.0011884,0.0011884
31,338.366,0.65308,0.94391,1.07393,0.6769,0.6902,0.71607,0.53609,0.84632,1.03794,1.33816,0.0011719,0.0011719,0.0011719
32,347.797,0.65575,0.98295,1.07334,0.67369,0.67511,0.70801,0.52742,0.90439,1.16368,1.37534,0.0011554,0.0011554,0.0011554
33,357.018,0.66925,0.95357,1.07786,0.7,0.64018,0.73244,0.53671,0.85384,1.11651,1.33399,0.00113889,0.00113889,0.00113889
34,366.76,0.67115,0.98059,1.08385,0.7097,0.62489,0.69971,0.56319,0.81762,1.12814,1.31302,0.00112239,0.00112239,0.00112239
35,375.77,0.63972,0.95561,1.06682,0.67896,0.65741,0.72693,0.57945,0.79395,0.9941,1.32025,0.00110589,0.00110589,0.00110589
36,384.814,0.61541,0.89645,1.05312,0.64093,0.56452,0.6514,0.52054,0.83207,1.11593,1.324,0.00108938,0.00108938,0.00108938
37,395.306,0.62657,0.93662,1.06534,0.79227,0.67064,0.70463,0.51881,0.87677,1.12964,1.37361,0.00107288,0.00107288,0.00107288
38,405.021,0.6296,0.91171,1.05058,0.73388,0.59184,0.72071,0.58076,0.78086,1.04768,1.25607,0.00105638,0.00105638,0.00105638
39,414.159,0.59345,0.84979,1.04595,0.82024,0.64791,0.75313,0.59629,0.79988,0.93963,1.28047,0.00103987,0.00103987,0.00103987
40,423.099,0.58533,0.83843,1.03049,0.80206,0.6902,0.78484,0.61413,0.80868,0.90728,1.3059,0.00102337,0.00102337,0.00102337
41,432.47,0.60684,0.88834,1.05141,0.68956,0.66375,0.71231,0.56169,0.75208,1.05521,1.26083,0.00100687,0.00100687,0.00100687
42,443.031,0.60271,0.87541,1.04174,0.63359,0.64559,0.69888,0.53107,0.85907,1.22898,1.34211,0.000990365,0.000990365,0.000990365
43,451.87,0.5815,0.87376,1.04437,0.68564,0.59054,0.66398,0.5111,0.80786,1.12992,1.32609,0.000973861,0.000973861,0.000973861
44,460.706,0.59205,0.82598,1.04695,0.69222,0.82265,0.77464,0.60301,0.74702,0.9421,1.24342,0.000957358,0.000957358,0.000957358
45,469.847,0.57606,0.82289,1.0298,0.67748,0.74807,0.74985,0.56898,0.82003,0.98502,1.27919,0.000940855,0.000940855,0.000940855
46,478.798,0.59083,0.83969,1.03646,0.72917,0.74327,0.77093,0.60191,0.78184,0.96535,1.29239,0.000924352,0.000924352,0.000924352
47,488.237,0.55712,0.79112,1.01754,0.71561,0.7545,0.78092,0.61297,0.77202,0.92644,1.30803,0.000907848,0.000907848,0.000907848
48,497.034,0.57488,0.80026,1.03483,0.68726,0.77412,0.76781,0.63033,0.7221,0.89124,1.23212,0.000891345,0.000891345,0.000891345
49,506.14,0.58015,0.80513,1.03152,0.71791,0.6889,0.76572,0.59782,0.76375,0.98853,1.28446,0.000874842,0.000874842,0.000874842
50,515.224,0.54457,0.75823,1.01479,0.71352,0.72672,0.78298,0.63294,0.74022,0.87377,1.25718,0.000858338,0.000858338,0.000858338
51,523.888,0.55581,0.77137,1.01434,0.70607,0.70701,0.75749,0.59749,0.76728,0.96171,1.27393,0.000841835,0.000841835,0.000841835
52,533.138,0.55733,0.74972,1.01949,0.78011,0.70089,0.79771,0.63645,0.72577,0.86967,1.23109,0.000825332,0.000825332,0.000825332
53,542.234,0.55046,0.76655,1.01859,0.78815,0.71444,0.81879,0.64504,0.75115,0.83537,1.23798,0.000808828,0.000808828,0.000808828
54,551.102,0.54074,0.73154,1.01239,0.82732,0.69173,0.80236,0.63512,0.77425,0.84909,1.28643,0.000792325,0.000792325,0.000792325
55,560.862,0.51822,0.73051,0.99806,0.6781,0.83346,0.78088,0.60843,0.78724,0.92056,1.27465,0.000775822,0.000775822,0.000775822
56,570.133,0.54749,0.74622,1.01553,0.76227,0.70604,0.79625,0.63405,0.71874,0.89219,1.22599,0.000759318,0.000759318,0.000759318
57,579.796,0.53199,0.73429,1.00667,0.80848,0.65093,0.77663,0.64011,0.7098,0.91262,1.19155,0.000742815,0.000742815,0.000742815
58,589.413,0.51408,0.69775,0.99281,0.80708,0.68995,0.76902,0.62849,0.68746,0.92507,1.20319,0.000726312,0.000726312,0.000726312
59,598.092,0.53007,0.72077,1.0036,0.72891,0.70923,0.78069,0.62625,0.74204,0.92422,1.22404,0.000709809,0.000709809,0.000709809
60,607.206,0.5265,0.70725,0.99509,0.86312,0.64922,0.81034,0.66914,0.73364,0.78578,1.23103,0.000693305,0.000693305,0.000693305
61,616.434,0.52119,0.69249,1.00421,0.79876,0.70156,0.78616,0.64397,0.72633,0.84477,1.22228,0.000676802,0.000676802,0.000676802
62,625.424,0.51958,0.68439,0.99886,0.68475,0.73938,0.79866,0.66632,0.71423,0.84044,1.18042,0.000660299,0.000660299,0.000660299
63,634.089,0.50079,0.67697,0.98152,0.91399,0.62959,0.81173,0.66573,0.67822,0.82204,1.17523,0.000643795,0.000643795,0.000643795
64,643.075,0.49719,0.64666,0.98265,0.75607,0.72746,0.78925,0.64415,0.71582,0.83611,1.21502,0.000627292,0.000627292,0.000627292
65,652.247,0.49145,0.64472,0.97961,0.83354,0.72869,0.82046,0.68324,0.67092,0.81645,1.16298,0.000610789,0.000610789,0.000610789
66,661.189,0.48351,0.62107,0.97308,0.66511,0.79117,0.79568,0.64277,0.73973,0.83361,1.22007,0.000594286,0.000594286,0.000594286
67,670.217,0.4969,0.64914,0.9832,0.84172,0.71675,0.78985,0.62506,0.7306,0.88191,1.22543,0.000577782,0.000577782,0.000577782
68,679.611,0.48413,0.64647,0.97863,0.88162,0.71926,0.79714,0.64529,0.73402,0.85598,1.20395,0.000561279,0.000561279,0.000561279
69,688.706,0.48972,0.6377,0.97374,0.80465,0.67706,0.78362,0.64559,0.65752,0.85386,1.16897,0.000544776,0.000544776,0.000544776
70,698.403,0.49429,0.62335,0.98176,0.74237,0.8167,0.81974,0.67783,0.64602,0.7634,1.14447,0.000528272,0.000528272,0.000528272
71,708.391,0.49501,0.60586,0.98168,0.84447,0.682,0.79536,0.6697,0.66978,0.86256,1.16973,0.000511769,0.000511769,0.000511769
