epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6677,1.0854,2.35593,1.49058,0.5649,0.59465,0.58793,0.36257,1.41229,3.09127,2.06986,0.000552773,0.000552773,0.000552773
2,72.203,1.27882,1.93017,1.61414,0.21123,0.31663,0.24176,0.11559,1.90016,2.41629,2.44097,0.00109747,0.00109747,0.00109747
3,106.57,1.34379,1.78784,1.67468,0.51404,0.44445,0.41084,0.17935,1.71557,2.12541,2.21283,0.00163116,0.00163116,0.00163116
4,137.984,1.33399,1.6765,1.63964,0.55404,0.33418,0.40142,0.22652,1.4854,1.92282,1.96471,0.00161749,0.00161749,0.00161749
5,172.943,1.28798,1.6009,1.60772,0.51774,0.59897,0.49866,0.29232,1.358,1.62235,1.8126,0.00160099,0.00160099,0.00160099
6,204.216,1.25901,1.51783,1.58982,0.54218,0.56049,0.51799,0.31119,1.39857,1.67722,1.87179,0.00158448,0.00158448,0.00158448
7,237.773,1.19732,1.43072,1.549,0.67449,0.61969,0.6081,0.36132,1.52154,1.5685,1.97239,0.00156798,0.00156798,0.00156798
8,267.356,1.17091,1.37015,1.51522,0.54743,0.53733,0.50456,0.3229,1.36687,1.61968,1.84229,0.00155148,0.00155148,0.00155148
9,298.506,1.1298,1.31441,1.47872,0.70007,0.64986,0.65505,0.4238,1.3011,1.32829,1.79284,0.00153497,0.00153497,0.00153497
10,331.302,1.10535,1.27883,1.45135,0.59578,0.72521,0.68073,0.46333,1.2431,1.4222,1.74677,0.00151847,0.00151847,0.00151847
11,362.023,1.09315,1.25335,1.45002,0.68296,0.74701,0.74834,0.50605,1.26096,1.2171,1.69859,0.00150197,0.00150197,0.00150197
12,391.778,1.04357,1.20803,1.40481,0.63898,0.74095,0.71554,0.49183,1.21295,1.21851,1.72567,0.00148546,0.00148546,0.00148546
13,423.205,1.04644,1.2176,1.42601,0.69361,0.67435,0.71084,0.50008,1.24288,1.29706,1.67676,0.00146896,0.00146896,0.00146896
14,453.357,1.01184,1.14481,1.39199,0.6866,0.74771,0.73714,0.52248,1.19901,1.15647,1.63105,0.00145246,0.00145246,0.00145246
15,483.106,0.99389,1.12822,1.37005,0.73259,0.72931,0.77654,0.55599,1.07911,1.08246,1.5248,0.00143595,0.00143595,0.00143595
16,512.935,0.99153,1.11741,1.38018,0.75473,0.7515,0.79349,0.56816,1.05836,1.02589,1.51084,0.00141945,0.00141945,0.00141945
17,542.215,0.96916,1.06793,1.35623,0.71184,0.77547,0.75775,0.55228,1.06862,1.00456,1.53204,0.00140295,0.00140295,0.00140295
18,572.951,0.97221,1.08298,1.35914,0.7338,0.79599,0.78914,0.59337,1.00592,1.01792,1.48273,0.00138644,0.00138644,0.00138644
19,602.561,0.95907,1.03775,1.3445,0.75177,0.77765,0.80674,0.59888,1.05769,0.96453,1.5096,0.00136994,0.00136994,0.00136994
20,631.425,0.96308,1.05074,1.34226,0.7377,0.78728,0.75055,0.53411,1.0614,1.05929,1.52558,0.00135344,0.00135344,0.00135344
21,660.969,0.94405,1.0298,1.33271,0.7894,0.74225,0.82281,0.61339,1.02012,0.96195,1.47727,0.00133693,0.00133693,0.00133693
22,691.117,0.90122,0.9553,1.31027,0.72348,0.78223,0.8144,0.6224,1.01753,1.00625,1.48727,0.00132043,0.00132043,0.00132043
23,720.933,0.88203,0.96088,1.28536,0.75128,0.79149,0.81249,0.61525,1.01222,0.97985,1.47149,0.00130393,0.00130393,0.00130393
24,752.225,0.90413,0.97457,1.30998,0.74404,0.84233,0.81162,0.61437,0.98081,0.91839,1.46148,0.00128742,0.00128742,0.00128742
25,781.837,0.88776,0.9718,1.29,0.72849,0.79478,0.81124,0.6139,1.04455,0.9203,1.50311,0.00127092,0.00127092,0.00127092
26,811.465,0.88666,0.94981,1.29985,0.77049,0.81973,0.82307,0.62606,0.95963,0.89135,1.41942,0.00125442,0.00125442,0.00125442
27,841.155,0.8615,0.93145,1.27433,0.77339,0.8231,0.85497,0.63807,0.95983,0.83525,1.42874,0.00123791,0.00123791,0.00123791
